Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
60,Gabon,1,0,0,0,0,1,0,0,0,0,0,0,2
61,"Gambia, The",0,1,0,1,0,0,0,2,2,4,1,7,18
62,Georgia,164,128,102,87,51,44,24,45,19,88,79,83,914
63,Germany,"8,217","7,930","9,702","7,404","6,854","5,090","8,013","8,472","7,231","7,548","12,331","13,747","102,539"
64,Ghana,1,5,3,1,5,3,1,0,5,3,14,2,43
65,Greece,151,163,143,148,48,38,101,307,51,135,187,344,"1,816"
66,Grenada,0,2,0,0,1,0,0,2,2,3,3,2,15
67,Guatemala,1,4,8,1,1,0,4,2,6,5,10,6,48
68,Guinea,1,0,1,0,0,1,2,0,0,1,1,1,8
69,Guyana,0,0,2,0,1,1,0,3,1,2,3,1,14
70,Haiti,3,1,1,0,0,1,1,0,0,1,2,2,12
71,Honduras,3,1,6,1,2,2,1,1,3,1,6,2,29
72,Hungary,400,405,403,189,72,98,200,166,97,211,505,"1,040","3,786"
73,Iceland,33,25,16,14,16,11,27,5,16,17,19,39,238
74,India,"13,759","13,714","18,959","19,915","23,016","26,830","23,461","30,593","30,063","28,222","30,339","43,973","302,844"
75,Indonesia,138,175,133,173,142,200,249,208,184,256,217,277,"2,352"
76,Iran,435,791,"3,738",420,259,330,264,279,"1,593",530,783,900,"10,322"
77,Iraq,63,92,64,84,58,85,100,103,73,49,37,94,902
78,Ireland,244,287,463,490,186,423,517,380,293,512,489,852,"5,136"
79,Israel,"1,868","2,188","1,765","1,432",863,856,"1,919","3,396","4,162",460,187,421,"19,517"
80,Italy,"1,477","1,409","1,272","1,384",680,"1,265","2,370","5,110","1,257",967,"1,662","3,389","22,242"
81,Jamaica,1,1,4,6,3,7,3,7,3,7,5,10,57
82,Japan,744,974,"1,042","2,318",876,"1,017","1,454","2,604","1,830","1,295","2,875","2,554","19,583"
83,Jordan,261,227,245,376,249,396,545,389,242,218,152,304,"3,604"
84,Kazakhstan,470,328,972,159,75,96,106,75,91,166,193,"2,399","5,130"
85,Kenya,23,40,51,52,24,35,44,106,40,42,30,126,613
86,Kiribati,0,0,0,0,0,2,0,0,0,0,0,0,2
87,Kosovar,1,0,3,6,9,0,5,2,3,2,3,4,38
88,Kuwait,162,219,101,191,99,183,259,293,147,85,66,150,"1,955"
89,Kyrgyzstan,79,74,83,38,36,30,61,44,37,35,79,238,834
90,"Lao, People's Democratic Republic",17,4,16,2,8,7,6,9,13,6,10,10,108
91,Latvia,171,176,172,59,39,31,31,31,28,99,293,476,"1,606"
92,Lebanon,111,188,206,616,161,279,321,250,292,268,171,484,"3,347"
93,Lesotho,0,0,0,0,0,2,2,0,0,0,0,0,4
94,Liberia,1,0,2,0,0,1,0,0,0,0,1,0,5
95,Libya(Libyan Arab Jamahir),4,6,1,4,5,3,3,11,6,3,7,4,57
96,Liechtenstein,5,6,3,9,10,3,10,2,1,7,8,8,72
97,Lithuania,278,296,360,223,59,77,113,91,113,226,396,490,"2,722"
98,Luxembourg,35,40,39,93,33,14,61,78,35,20,29,62,539
99,Macedonia,9,15,17,28,4,15,13,9,9,29,16,37,201
100,Madagascar,7,7,15,7,9,10,9,8,17,21,13,20,143
101,Malawi,2,2,3,5,4,2,1,1,2,9,7,4,42
102,Malaysia,496,657,676,735,895,779,915,"1,207",924,788,"1,084","1,784","10,940"
103,Maldives,"2,203","1,818","1,774","1,596","2,438","4,080","6,286","2,596","2,287","3,862","2,420","5,968","37,328"
104,Mali,2,0,0,0,1,1,1,2,2,3,2,1,15
105,Malta,45,28,32,33,17,32,39,77,105,42,37,163,650
106,Marshall Islands,0,0,1,1,0,0,0,5,0,0,0,0,7
107,Mauritania,1,0,1,0,0,0,0,0,0,1,1,3,7
108,Mauritius,19,21,28,20,25,29,21,23,29,22,40,194,471
109,Mexico,19,40,80,82,46,34,44,45,119,54,82,147,792
110,Moldova,66,47,56,25,14,17,13,8,14,14,49,89,412
111,Monaco,2,0,5,6,0,1,0,1,4,0,0,4,23
112,Mongolia,2,12,7,20,2,7,11,8,15,18,14,5,121
113,Montenegro,20,9,6,10,2,1,1,9,2,6,6,4,76
114,Morocco,47,38,58,65,40,86,81,82,49,45,64,134,789
115,Mozambique,5,3,3,0,0,1,7,2,1,7,3,2,34
116,Myanmar,35,36,73,44,90,53,93,355,47,63,138,103,"1,130"
117,Namibia,1,0,0,0,4,1,1,1,2,1,3,3,17
118,Nauru,0,0,0,0,0,5,0,3,0,0,0,0,8
119,Nepal,292,247,295,226,361,374,375,476,593,632,411,468,"4,750"
120,Netherlands,"1,514","1,485","1,573","1,593","1,072","1,258","6,796","3,429","3,177","2,117","2,370","2,672","29,056"
121,New Zealand,394,346,543,627,540,853,734,575,648,561,749,"1,343","7,913"
122,Nicaragua,2,1,0,1,1,1,0,0,3,1,1,1,12
123,Niger,0,2,0,0,1,0,0,1,1,3,0,0,8
124,Nigeria,10,2,3,3,4,15,9,7,6,15,13,6,93
125,Norway,698,567,648,487,344,"1,281","1,643",481,547,394,622,"1,035","8,747"
126,Oman,183,229,63,64,93,212,427,386,74,77,122,108,"2,038"
127,Pakistan,595,724,824,399,580,711,"1,223","1,264","1,391",903,962,"1,168","10,744"
128,Palau,0,0,0,0,0,0,0,2,1,1,0,0,4
129,Palestinian Territories,28,43,25,41,41,65,76,133,40,29,26,43,590
130,Panama,1,4,3,0,1,2,1,0,2,2,3,1,20
131,Papua New Guinea,1,3,2,0,,8,1,2,5,3,0,16,41
132,Paraguay,2,3,2,3,2,2,4,4,0,3,0,0,25
133,Peru,8,10,10,14,6,8,21,10,9,9,20,22,147
134,Philippines,188,262,329,369,300,410,448,468,328,318,296,448,"4,164"
135,Poland,"1,269","1,118","1,507","1,129",616,702,999,"1,029","1,599","1,418","3,343","3,217","17,946"
136,Portugal,230,268,299,486,155,181,282,368,286,304,557,527,"3,943"
137,Qatar,34,46,67,62,25,145,179,134,23,47,27,33,822
138,Romania,316,398,340,315,163,148,172,304,166,299,516,955,"4,092"
139,Russian Federation,"25,254","29,084","25,553","14,656","7,760","7,968","8,009","6,853","7,163","10,629","24,912","29,657","197,498"
140,Rwanda,2,0,1,2,3,3,1,1,0,2,2,7,24
141,Saint Kitts and Nevis,3,10,9,11,7,12,3,12,3,6,8,10,94
142,Saint Lucia,3,0,0,1,0,0,0,1,4,0,2,1,12
143,Saint Vincent The Grenadi,0,0,0,0,0,0,0,7,1,0,0,0,8
144,Samoa,0,0,0,0,0,0,0,1,0,2,0,0,3
145,San Marino,1,1,0,0,1,0,0,3,0,0,2,0,8
146,Saudi Arabia,340,365,653,414,372,595,"1,564",708,331,290,872,293,"6,797"
147,Senegal,2,5,2,3,0,1,0,3,4,8,2,2,32
148,Serbia,144,153,136,172,41,31,63,88,76,82,164,215,"1,365"
149,Seychelles,21,7,23,33,30,110,267,243,103,143,103,275,"1,358"
150,Sierra Leone,0,2,1,4,0,0,2,1,0,0,1,0,11
151,Singapore,414,486,636,500,691,"1,164",656,904,759,600,"1,140","1,601","9,551"
152,Slovakia(Slovak Republic),351,515,610,475,172,129,254,227,258,394,617,462,"4,464"
153,Slovenia,146,184,88,197,25,49,351,154,108,203,195,227,"1,927"
154,Solomon Islands,0,2,0,0,0,1,0,0,0,0,1,1,5
155,Somalia,3,3,4,3,4,4,6,2,1,12,2,9,53
156,South Africa-Zuid Afrika,125,141,265,315,145,291,232,338,185,232,274,901,"3,444"
157,South Korea ,450,508,479,469,498,516,628,666,656,604,867,957,"7,298"
158,South Sudan,0,0,0,0,8,1,3,0,0,1,2,0,15
159,Spain,857,770,"1,125","1,619",857,"1,229","2,751","4,455","2,414","2,488","2,673","2,667","23,905"
160,Sudan,61,37,52,44,31,73,154,88,33,36,145,65,819
161,Swaziland,0,0,0,0,2,0,1,0,0,0,2,5,10
162,Suriname,0,0,1,1,0,2,4,5,12,1,1,0,27
163,Sweden,871,836,631,509,287,622,560,317,327,617,948,"2,118","8,643"
164,Switzerland,"1,769","1,812","1,660","2,091","1,208","1,334","4,329","1,483","1,638","1,608","1,970","2,654","23,556"
165,Syrian Arab Republic,0,1,1,0,2,1,0,0,0,0,0,0,5
166,Taiwan Province of China,151,193,237,244,211,637,411,611,616,761,553,374,"4,999"
167,Tajikistan,27,19,14,9,11,11,11,8,8,23,7,27,175
168,Tanzania,9,10,9,11,9,8,9,10,18,17,8,23,141
169,Thailand,279,210,308,406,455,414,633,480,326,394,380,637,"4,922"
170,Timor-Leste,0,0,0,6,0,6,7,0,11,0,4,0,34
171,Togo,1,1,0,3,1,1,1,0,0,4,0,0,12
172,Tonga,0,0,0,0,4,0,1,0,1,0,0,0,6
173,Trinidad and Tobago,2,7,6,5,5,4,2,3,2,4,5,10,55
174,Tunisia,43,39,48,106,27,50,71,46,40,65,45,107,687
175,Turkey,362,246,227,289,141,275,251,262,256,349,566,515,"3,739"
176,Turkmenistan,4,18,11,13,7,5,11,2,5,9,13,23,121
177,Tuvalu,0,0,0,0,0,0,1,2,0,0,0,0,3
178,Uganda,9,1,9,4,7,15,27,12,11,16,9,7,127
179,Ukraine,884,562,516,326,167,200,185,183,233,305,479,"1,042","5,082"
180,United Arab Emirates,101,138,115,169,155,404,576,379,228,190,148,342,"2,945"
181,United Kingdom,"8,483","8,575","11,053","8,743","5,987","7,981","17,482","15,035","7,504","8,454","11,526","19,265","130,088"
182,United States,"2,636","2,443","5,701","3,940","3,240","3,806","4,120","3,107","2,357","2,651","4,299","8,044","46,344"
183,Uruguay,5,4,5,14,5,5,7,7,7,6,6,3,74
184,Uzbekistan,152,383,58,25,26,33,48,39,52,68,51,242,"1,177"
185,Vanuatu,1,2,6,5,3,2,4,3,2,2,4,7,41
186,Venezuela,4,5,14,18,3,8,9,15,1,5,11,13,106
187,Viet Nam,117,103,284,141,233,192,195,238,154,113,335,202,"2,307"
188,Yemen (Yemen Arab Republic),22,26,28,22,25,23,55,83,31,52,34,44,445
189,Zambia(Northern Rhodesia),6,7,4,6,3,2,5,4,3,4,1,6,51
190,Zimbabwe,7,4,10,16,10,9,16,14,10,10,14,37,157
